Baxazole-D    (Baxter )
Mectozel    (Zephyr)
Mectrum    (Welmed)
Mecze    (Epoch)
Med-Diclo    (Meditech)
Med-Span    (Mediate)
Medac    (Medisave)
Medazole    (Libra)
Medazole Infusion    (Drugs)
Medbirox    (Medisave)
Medcidol    (Medley)
Medclor    (Medera)
Medel    (Neo)
Medelate    (Mediate)
Medestrol    (Pharmedic)
Medfen    (Medicraft)
Medfotax    (Welmed)
Medgel    (Medicraft)
Medgesic    (Mediceena)
Medglobin    (Medicraft)
Medi Cim    (Mac & Rans)
Medi Tar    (Derma Tech)
Medi-Al    (Medicon)
Medi-Biotic    (Medicon)
Medi-Flu    (Ethical)
Medi-H1    (Medicon)
Medi-Heart    (Medicon)
Medi-Lox    (Medicon)
Medi-Nor    (Medicon)
Medi-Soft    (Medicon)
Medi-Xin    (Medicon)
Mediamin    (Medicaids)
Medibi    (Mediate)
Medibrrufen    (Mediate)
Medibru    (Medera)
Medibrufen    (Mediate)
Medibunor    (Medicraft)
Medibutol    (Mediceena)
Medicaine    (Hsc)
Medicarpine    (Medipak)
Medicef    (Mediate)
Medichlor Plus    (Medipak)
Medicip    (Global)
Mediclob    (Macquins)
Mediclop    (Global)
Mediclor    (Medicon)
Medicob    (Medicon)
Medicobal    (Pharmedic)
Medicol    (Meditech)
Medicoline    (Mediceena)
Medicor    (Medipak)
Medicoxib    (Mediceena)
Medidex    (Medipak)
Medidex-C    (Medipak)
Medidine    (Mediate)
Medidol    (Medicon)
Medidome    (Medicon)
Medidone    (Medisearch)
Medidoxime    (Medisave)
Medifen    (Medipak)
Medifenac  Injection    (Mediate)
Medifenac Tablet    (Medicon)
Medifilic    (Obs)
Mediflam    (Mediceena)
Mediflic    (Navegal)
Medifran    (Mediate)
Medigate    (Medicon)
Medigentacin    (Medipak)
Medigesic    (Wilshire)
Medigesic C    (Wilshire)
Medigesic Forte    (Wilshire)
Mediget    (Medicaids)
Medigyl    (Mediceena)
Medigyne    (Medicon)
Medihist    (Medicon)
Medikast    (Medisave)
Medikort    (Medicraft)
Medikuf    (Medicraft)
Medilact-D    (Medipak)
Medilar    (Medicon)
Medile    (Leama)
Medilevo    (Medicon)
Medilex    (Mediate)
Medilinc    (Medera)
Medilip    (Medicaids)
Medilorin    (Mediate)
Medilyte-M    (Medipak)
Medimerz    (Mediate)
Medimol    (Mediceena)
Medimox    (Medicraft)
Medinac    (Mediceena)
Medinase    (Meditech)
Medineur    (Medicon)
Medinol    (Polyfine)
Medioflox    (Medipak)
Medioflox-D    (Medipak)
Mediolon    (Neo)
Mediox    (Medera)
Medioxil    (Mediceena)
Medioxil-F    (Mediceena)
Medipep    (Medera)
Mediper    (Medicineco)
Mediphakol    (Medipak)
Mediphane    (Medisearch)
Mediphrine    (Medipak)
Medipime    (Medicraft)
Mediplex - L    (Medicraft)
Medipride    (Medipak)
Medipril    (Medicaids)
Mediprin    (Medicaids)
Mediprox    (Mediate)
Mediprufen    (Medipak)
Mediprzole    (Mediate)
Medipyretic    (Medicon)
Mediquin    (Semos)
Mediquine    (Mediate)
Mediquineml    (Mediate)
Medirax    (Mediate)
Medirium    (Medicraft)
Medirol-D    (Medley)
Mediron    (Medicraft)
Mediroxine    (Mediate)
Mediryl    (Mediate)
Medisept    (Medipak)
Medisol    (Medipak)
Medisol     (Ringers Lactated)    (Medipak)
Medisol 1/2 Strength    (Medipak)
Medisol Ac+Bc    (Medipak)
Medisol Darrows    (Medipak)
Medisol Hartmann    (Medipak)
Medisol Mannitol    (Medipak)
Medisol N.S    (Medipak)
Medisol N/3    (Medipak)
Medisol Ns    (Medipak)
Medisol Peads    (Medipak)
Medisol Peri-Hyper    (Medipak)
Medisol Peri-Iso    (Medipak)
Medisol-S    (Medipak)
Medisolone    (Specific)
Medisonate    (Mediate)
Medisoride    (Mediate)
Medispan    (Mediceena)
Medistin    (Medicraft)
Medither    (Medicraft)
Medither Forte    (Medicraft)
Meditim    (Medipak)
Mediton-S    (Mediate)
Meditose    (Mediate)
Meditrax    (Mediate)
Meditrol    (Medipak)
Medivastin    (Mediate)
Medivil    (Mediceena)
Medivirin    (Mass)
Medixim    (Medera)
Medixime    (Envoy)
Medizinamide    (Mediceena)
Medizine    (Mediceena)
Medizol    (Mediceena)
Medizole    (Mediate)
Medkit    (Mediate)
Medlevo    (Medera)
Medo    (Medisearch)
Medocid Forte    (Dosaco)
Medocid Plain    (Dosaco)
Medonac    (Medley)
Medoxetine       (Medera)
Medoxin    (Gray'S)
Medrithro    (Medera)
Medrosterona    (Seignior)
Medrox    (Mendoza)
Medrox-C    (Mendoza)
Medroxy Depo    (Global)
Medroxyprogesterone    (Medinet)
Medrysone    (Medipak)
Meduxa    (Mediate)
Medyo    (Jinnah)
Medzepam    (Medicraft)
Meecef    (Ipram)
Mefacid    (Zafa)
Mefaclor    (Macquins)
Mefad    (Paramount)
Mefadil    (Pdh)
Mefadil Forte    (Pdh)
Mefadon    (Bloom)
Mefaim    (Aims)
Mefalgic    (Semos)
Mefalgic Forte    (Semos)
Mefcid    (Miracle)
Mefco    (Eros)
Mefco Forte    (Eros)
Mefenamic Acid    (Ardin)
Mefenamic Acid    (Standpharm)
Mefenamic Acid    (Medicaids)
Mefenamic Acid    (Geofman)
Mefenamic Acid    (Lcpw)
Mefenamic Acid    (Munawar)
Mefenamic Acid    (Eros)
Mefescot    (Scotmann)
Mefgesic    (Wilsons)
Mefheim    (Pakheim)
Mefinn    (Goodman L)
Mefix    (Mbl)
Mefixim    (Everest)
Meflex    (Fozan)
Meflin    (Harmann)
Meflogen    (Genome)
Meflon    (Umersons)
Meflowan    (Swan)
Meflox    (Nabiqasim)
Mefmic    (Ferro)
Mefna    (Ferroza)
Mefnac    (Efroze)
Mefnacin    (Hizat)
Mefnagen    (Genera)
Mefnax    (Qintar)
Mefo    (Tagma)
Mefo-250    (Tagma)
Mefomide    (Swiss Pharma)
Meftac    (Alina)
Meftan    (Euro)
Mefudol    (Hizat)
Mega Cal    (Mpc)
Mega-Iii    (Delux)
Mega-M    (Delux)
Mega-V    (Delux)
Megab Ablet    (Goodman)
Megab Capsule    (Sante)
Megacard    (Mission)
Megace    (Gsk)
Megacip    (Amros)
Megacip Tablet    (Laderly Bio-Tech Pharma)
Megaclox    (Swiss Pharma)
Megadex    (Elko)
Megadip    (Mega Pharma)
Megadox    (Hilton)
Megadoxime    (Mega Pharma)
Megafast    (Mega Pharma)
Megafen    (Albro)
Megafenac    (Mega Pharma)
Megafer    (Surge)
Megaflex    (Mpc)
Megaflex Extra    (Mpc)
Megaflox    (Geofman)
Megairon    (Hi-Warble)
Megairon-F    (Medicraft)
Megaklar    (Barrett)
Megalor    (Mega Pharma)
Megamox    (Sante)
Megamycin    (Mega Pharma)
Megapime    (Laderly Bio-Tech Pharma)
Megapol    (Mega Pharma)
Megapride    (Mega Pharma)
Megaprin    (Mega Pharma)
Megarox    (Mega Pharma)
Megaroze    (Mega Pharma)
Megasar    (Mega Pharma)
Megasef    (Helicon)
Megatab    (Robins)
Megatop    (Mega Pharma)
Megatron    (Rotex)
Megatron Plus    (Rotex)
Megavastin    (Mega Pharma)
Megavid    (Mega Pharma)
Megavit    (Siza)
Megaxim    (Pakheim)
Megazime    (Mega Pharma)
Megazith    (Crest)
Megazol    (Pharmedic)
Megazole    (Mega Pharma)
Megazyme    (Polyfine)
Megestil    (Scharper)
Megestron    (Social)
Megit    (Glitz)
Meglutin    (Star)
Megma    (Tagma)
Megnacid    (Epoch)
Megnovit    (Mediate)
Megodine    (Regent)
Megsal    (Universal)
Megsal Plus    (Universal)
Meiji Fm-T    (Global Brands)
Meiji Fu    (Global Brands)
Meiji Gripe Water    (Geofman)
Meiji Lactoless    (Global Brands)
Meiji Mamilac    (Global Brands)
Mejic    (Fozan)
Mekast    (Genome)
Meklin    (S.J.& G)
Mel - 2 - Cox    (Elko)
Melacute     (Ambrosia)
Meladinine    (Geofman)
Melamet    (Friends)
Melamine    (Reliance)
Melas    (Atco)
Melas-H    (Atco)
Melasmaderm    (Wilshire)
Melazine    (Macter)
Melbek    (Navegal)
Melbek D    (Wilshire)
Melcox-15    (Unison)
Meldere    (Aventis)
Melex    (Saia)
Melfax    (Agp)
Meliane    (Bayer)
Melide    (Ferroza)
Melitus    (Noa Hemis)
Melleril    (Novartis)
Mellin    (Harmann)
Mellow    (Nuzzr)
Mellow Tab    (Ferroza)
Melnorm    (Danas)
Melocam    (Flow)
Melofin    (Shaigan)
Melomak    (Makson)
Melor    (Sami)
Meloran    (Roryan Pharma)
Melow    (Ferroza)
Melox    (Kobec)
Meloxadvan    (Advanced)
Meloxisel    (Hansel)
Meloxisure    (Medisure)
Meloxy    (Trigon)
Melpar    (Valor)
Melpha    (Pharmedic)
Melrun    (Healthtek)
Melticam    (Pulse)
Melzee    (Zesion)
Memine    (English)
Memomax    (Searle)
Memron    (Biogen)
Memura    (Pharmevo)
Menactra    (Aventis)
Menamic    (Munawar)
Menarex    (Rex)
Menate    (Friends)
Mencevax  Acwy    (Gsk)
Mendazole    (Valor)
Mendoza    (Mendoza)
Mendoza Plex    (Mendoza)
Menidazole    (Werrick)
Meningococcal A+C    (Sms)
Menizole    (Umersons)
Menogesic    (Biogenics)
Menogon    (Atco)
Menpovax    (Amson)
Menpovax A+C    (Amson)
Menstrogen    (Obs)
Mentazocine    (Medicraft)
Menthorex    (Biorex)
Menthorub    (Euro)
Mentin    (Unexo)
Mentin Forte    (Unexo)
Mentona    (Zafa)
Menveo    (Novartis)
Menwin    (Pharmix)
Meoceaf    (Al-Habib)
Mep-B    (Genix)
Mepcid    (Excel Healthcare)
Mepedrin    (Lisko)
Mepedrin Ds    (Lisko)
Mepex    (Alliance)
Mephage    (Standpharm)
Mephen    (Mian)
Mepican    (Ray)
Mepnam    (Kanel Pharma)
Mepol    (Reko)
Mepon    (Ferozson)
Mepra    (Nimrall)
Mepragen    (Fassgen)
Meprascot    (Scotmann)
Meprawin    (Wnsfeild)
Mepraz    (Spl)
Meprazol    (Werrick)
Meprazole    (Welwrd)
Mepresor    (Novartis)
Meprex    (Aptcure)
Meprium    (Friends)
Meprium-L    (Friends)
Meprogesic    (Medicaids)
Meprol    (Obsons)
Meprolive    (Olive)
Mepsal    (Goodman)
Meptin    (Otsuka)
Mepzan    (Medisave)
Mequin    (Crest)
Mercaprine    (Pharmedic)
Mercaptepurine    (Lcpw)
Mercazole    (Wilshire)
Mercefex    (Merck)
Mercip    (Merck)
Mercurochrome    (Euro)
Mercurochrome    (Kci)
Mercurochrome    (Kpl)
Mercurochrome    (Progressive Lab)
Mercurochrome    (Prime)
Merem    (Global)
Merical Plus    (Meriline)
Merida    (Dyson R L)
Meridox       (Miracle)
Merigor    (Miracle)
Merimax    (Max)
Meriprin    (Bliss)
Merisol    (Miracle)
Merit    (Xenon)
Meritus    (Ferozson)
Merizole    (Atco)
Merizon    (Evron)
Merlon    (Agp)
Merocin    (Jinnah)
Merocon    (Continental)
Merofer    (Bosch)
Meroid    (Zanctok)
Meroid-D    (Zanctok)
Meroid-Ds    (Zanctok)
Merol    (Atco)
Merol-Xl    (Atco)
Meroline    (Irza)
Meronem    (Ici)
Meronide    (Irza)
Meronine    (Irza)
Merosine    (French)
Merric    (Mega Pharma)
Merrysone    (Hygeia)
Mersol    (Macter)
Merzepa    (Mediate)
Mesan    (Shaigan)
Mesartin    (Shrooq)
Mesazine    (Adamjee)
Mesna    (A.J.Mirza)
Mesnal    (Pharmedic)
Mesnatan    (Ghazali)
Mesnex       (Global)
Meso    (Focus & Rulz)
Mesotec    (Pulse)
Mesparex    (Qintar)
Mesulid    (Atco)
Meta    (Linear)
Metaarex    (Rex)
Metabone    (Candid)
Metacobal    (Pearl)
Metacrom    (Vega)
Metadex    (Macquins)
Metadox    (Caraway)
Metafan    (Mbl)
Metafin    (Harmann)
Metagin    (Trigon)
Metaglibe    (Lowitt)
Metaglobin    (Mediate)
Metakelfin    (Pfizer)
Metalon    (Umersons)
Metamide    (Mbl)
Metamide Plus    (Mbl)
Metaplaxel    (Ccl)
Metapred    (Jaens)
Metapressor    (Hygeia)
Metason    (Life Line)
Metatex    (Rex)
Metavate    (Sulk)
Metavine    (Krka-Pak)
Metazem    (Mass)
Metazem A    (Mass)
Metazol    (Wilsons)
Metazole    (Kpl)
Metbar Er    (Barrett)
Metcard    (Batala)
Metclomide    (Epoch)
Metcon    (Efroze)
Metcon Plus    (Efroze)
Metenzole    (Hizat)
Meteor    (Asian)
Meteospasmyl    (Tabros)
Metfor    (Valor)
Metform    (Gray'S)
Metformed    (Medicraft)
Metformin    (Wilsons)
Metformin    (Medicaids)
Metformina    (Don Valley)
Metgyl    (Alliance)
Methachlor    (Remington)
Methacid    (Unexo)
Methacil    (Mediceena)
Methadex    (Jaens)
Methadex N    (Jaens)
Methado    (Hisun)
Methagan    (Kpl)
Methal    (Navegal)
Methanate    (Care Pharma)
Methanate S    (Care Pharma)
Methanate-G    (Care Pharma)
Metharex    (Rex)
Methasone    (Shifa)
Methasul    (Remington)
Methaval    (Care Pharma)
Methax    (Fynk)
Methazex    (Unexo)
Methazone    (Semos)
Methemin    (Evergreen)
Mether    (Helix)
Mether Plus    (Helix)
Mether Sp    (Unexo)
Methergine    (Novartis)
Methiplex    (Pliva)
Methnate-S    (Care Pharma)
Methodex    (Friends)
Methodox    (Alina)
Methogel    (Ethical)
Metholon    (Global)
Metholon Forte    (Global)
Metholon-N    (Global)
Methotrexate    (Umair)
Methotrexate    (Werrick)
Methotrexate    (Bio Pharma)
Methotrexate    (Pfizer)
Methotrexate    (Atco)
Methox    (Macquins)
Methril    (Bryon)
Methrin    (Medera)
Methycobal    (Hilton)
Methyl Salicylate    (Geofman)
Methylated Spirit    (Kpl)
Methyldopa    (Macter)
Methymin    (Ipram)
Methypred    (Haji)
Methyvit    (Danas)
Metical    (Shrooq)
Metical-V    (Shrooq)
Metidal-M    (Elko)
Metla    (Evergreen)
Metliptin    (Tabros)
Metme    (Shrooq)
Metme Plus    (Shrooq)
Metmin    (Maple)
Metni V    (Shaigan)
Metoca    (Neutro)
Metocard    (Ccl)
Metocare    (Care Pharma)
Metoclon    (Indus)
Metoclop    (Munawar)
Metoclopramide    (Drug)
Metoclopramide    (Haji)
Metodine    (Searle)
Metodine Df    (Searle)
Metokin    (Xenon)
Metolol    (Mbl)
Metolon    (Mediceena)
Metomet    (Tagma)
Metomide    (Ccl)
Metone      (Danas)
Metoplaxil    (Fynk)
Metopride    (Atlantic)
Metorate    (Caraway)
Metorex    (Rex)
Metoscot    (Scotmann)
Metoshin    (Shaheen)
Metotrexato    (Seignior)
Metovine    (Venus)
Metowil    (Wilshire)
Metoxim    (Genome)
Metozole    (Tagma)
Metphage    (Efroze)
Metpi    (Pharmevo)
Metpride    (Akson)
Metrafed    (Hizat)
Metran    (Bio Pharma)
Metric    (Polyfine)
Metric-Df    (Polyfine)
Metric-F    (Polyfine)
Metrida    (Zafa)
Metro    (Amson)
Metro-Ve    (Venus)
Metroaim    (Aims)
Metroate    (Mediate)
Metrobac    (Ellahi)
Metrodan    (Danas)
Metrodex    (Caraway)
Metrodil    (Sharex)
Metrofit    (Synchro)
Metrofur    (Medicraft)
Metrogen    (Genera)
Metrogyl    (Unexo)
Metroin    (Saturn)
Metrolone    (Venus)
Metrolox    (Medicraft)
Metron    (Elko)
Metronidazole    (Dosaco)
Metronidazole    (Lisko)
Metronidazole    (Wilshire)
Metronidazole    (S.Ejazuddin)
Metronidazole    (Fedro)
Metronidazole    (Munawar)
Metronidazole    (Medicraft)
Metronidazole    (Star)
Metronidazole    (Polyfine)
Metronidazole    (Haji)
Metronidazole    (Ardin)
Metronidazole    (Elko)
Metronidazole    (Amson)
Metroscot    (Scotmann)
Metrosol    (Atlantic)
Metrosol I.V    (Marion)
Metrostat    (Gray'S)
Metrostat Plus    (Gray'S)
Metrotrexan    (Ghazali)
Metrox    (Hygeia)
Metroxin    (Neo)
Metrozeb    (Zeb)
Metrozid    (Axis)
Metrozil    (Siza)
Metrozine    (Searle)
Metrozole Suspension    (Marvi)
Metrozole Tablet    (Unexo)
Metsu Xl    (Genix)
Metwil-Xr    (Wilsons)
Metzan    (Medizan Lab)
Metzil-Df    (Meditech)
Metzol    (Jawa)
Metzon    (Efroze)
Metzyl    (Nimrall)
Mevac Ac    (Aventis)
Mevac Acyw 135    (Hospital Services)
Mevac-A    (Hilton)
Mevacor    (Obs)
Mevit    (Bosch)
Mevlon    (Helix)
Mevodip    (Alliance)
Mevoflox    (Miracle)
Mevorex    (Caylex)
Mevrin-135    (S.J.& G)
Mevulak    (Sami)
Mewin    (English)
Mewise    (Wise)
Mex    (Qintar)
Mexair    (Siza)
Mexamine    (Asian)
Mexazol    (Harmann)
Mexi    (Akson)
Mexicam    (Reko)
Mexicobal    (Helicon)
Mexidon    (Searle)
Mexigyl    (Max)
Mexiran    (Genome)
Mexiran    (Akson)
Mexiran-15    (Genome)
Mexodine    (Mediate)
Mexoflox    (Azron Pharma)
Mexx    (Neo Nexus)
Meylon    (Hsc)
Mezapine    (Valor)
Mezeron    (Obs)
Mezeron    (Obs)
Mezicarb    (Medera)
Mezine    (Bloom)
Mezith    (Qintar)
Mezole    (Global)
Mezole Ds    (Global)
Mezomed    (Mediate)
Mezonil    (Dr.Raza)
Mezosin    (Medicaids)
Mezrel Xr    (Pharmevo)
Mflox    (Zephyr)
Mfor    (Jawa)
Miacalcic    (Novartis)
Mibs    (Getz)
Micafen    (Max)
Micalpha    (Meezab Int.)
Micam    (Bosch)
Micnic    (Zephyr)
Mico    (Focus & Rulz)
Micoden    (Danas)
Micogen-B    (Delux)
Miconaz    (Medisure)
Miconit    (Biolabs)
Micoral    (Laderly Bio-Tech Pharma)
Micorcid      (Webrose)
Micort    (Ophth-Pharma)
Micostatin    (Hamaz)
Micozol    (Pharmedic)
Microbin    (Robins)
Microgin    (Pharmedic)
Micromin    (Trigon)
Micronema    (Atco)
Micronorm    (Tread)
Micronorm Plus    (Tread)
Microrid    (Medicraft)
Microser    (Searle)
Mictel    (Bosch)
Mictra    (Bosch)
Mictracin    (Everest)
Mictracin H    (Everest)
Midazom    (Akhai)
Mide    (Macquins)
Midin    (Jaens)
Midopine    (Welmark)
Midza    (Ameer Pharma)
Miek    (Genix)
Mifate    (Swiss Pharma)
Mifen    (Bloom)
Mifos    (Remington)
Mig-2.5    (Csh)
Mig-5    (Csh)
Migic    (Honig)
Migram    (Amarant)
Migranil    (Polyfine)
Migril    (Gsk)
Migrot    (Genix)
Migzor    (Hilton)
Mikacin    (Global)
Mikan    (Agp)
Mikobal    (Biolabs)
Milam    (Indus)
Mild    (Xenon)
Mildopred    (Remington)
Milex    (Fozan)
Milid    (Popular)
Milid 400-F    (Popular)
Mililex    (Lexicon)
Milim    (Jaens)
Milium    (English)
Milium-V    (English)
Milkish    (Danas)
Millisrol    (S.Ejazuddin)
Milosol    (Polyfine)
Milox    (English)
Milron    (Atco)
Min-Cal    (Brookes)
Minalfene    (Highnoon)
Minamino    (Ccl)
Minara-Vit    (Rakaposhi)
Minate    (Akson)
Minatidine    (Elite)
Mincof    (Ppp)
Mincomycin    (Macquins)
Minest    (Wise)
Mingair    (Popular)
Mingle    (Valor)
Mini Prin    (Bloom)
Minicol    (Libra)
Minidiab    (Pfizer)
Minidiab Af    (Pfizer)
Minilip    (Pulse)
Minipress    (Pfizer)
Minirin    (Atco)
Minish    (Libra)
Ministal    (Kpl)
Mink    (Mass)
Minoaim    (Aims)
Minobal    (Envoy)
Minoc S    (Wise)
Minocard    (Pearl)
Minoclin    (Wise)
Minocycline    (Healer)
Minoderm    (Gsk)
Minogen    (Mass)
Minolad    (Spencer)
Minolox    (Genome)
Minomet    (Zinta)
Minopen    (Pearl)
Minorin    (Cirin)
Minoside    (Mascon)
Minowil    (Wilshire)
Minoxin    (Brookes)
Minoxin Plus    (Brookes)
Minoxy    (Danas)
Minoxy  Plus    (Danas)
Minspa    (Shrooq)
Miobi    (Medisure)
Miochol    (Ethical)
Miodarone      (Unimark)
Mioflex    (Usmanco)
Miomax    (Hilton)
Mionex    (Shaigan)
Miosil    (Europak)
Miostat    (Novartis)
Miphene    (Sayyad)
Mipine    (Raazee)
Mipride    (Kci)
Miprozin    (Krka-Pak)
Miramax    (Delux)
Mirapine       (Miracle)
Mirazin    (Miracle)
Mircera    (Roche)
Mirena Ius    (Bayer)
Miriadar    (Miracle)
Mirisart    (Miracle)
Mirotose    (Medisearch)
Miroxicam    (Miracle)
Miroxim    (Linz)
Miroxin    (Miracle)
Mirpine    (Global)
Mirtazep    (Zafa)
Mirton    (Genome)
Mirtz    (Paramount)
Misar    (Highnoon)
Misar-Am    (Highnoon)
Misar-H    (Highnoon)
Misartan    (Indus)
Misartan -H    (Indus)
Misidol    (Healer)
Misleri    (Ambrosia)
Miso    (Global)
Miso Plus    (Global)
Misoclear    (Zafa)
Misodoc    (Wnsfeild)
Misofen    (Pakheim)
Misomal    (Tabros)
Misonate    (Tabros)
Misprin    (Weather)
Misri Cotton Bandage    (Al-Aju)
Mitaz    (Macter)
Mite    (Genix)
Mitek    (Genix)
Mitocin    (Pharmedic)
Mitomycin    (Al-Habib)
Mitomycin-C    (S.Ejazuddin)
Mitonil    (Saffron)
Mitonovag    (Rotex)
Mitostate    (Neo)
Mitoxantron    (Bio Pharma)
Mitoxantrona    (Atco)
Mitprix    (Alliance)
Mitra    (Helix)
Mits    (Shaigan)
Miura    (Getz)
Mivas    (Genome)
Mivux    (Fassgen)
Mixcef    (Biogen)
Mixel    (High-Q)
Mixil    (Pharmacare)
Mixtard    (Novo)
Mixtard 30 Innolet    (Novo)
Mixtard 30 Novolet    (Novo)
Mixtard 30 Penfills    (Novo)
Mixtard Hm    (Novo)
Mizam    (Global)
Mizenax    (Ambrosia)
Mizio    (English)
Mizole    (Pharmix)
Mlow    (Scilife)
Mmr    (Amson)
Mntazole    (Jawa)
Mntk    (Macter)
Mo-Tu    (S.J.& G)
Mob    (Indus)
Mobbix    (Global)
Mobex    (Fynk)
Mobez    (Figs)
Mobic    (Wilshire)
Mobicam    (Global)
Mobicamt    (Global)
Mobifen    (Searle)
Mobik    (Mass)
Mobikare    (Barrett)
Mobikare Dr    (Barrett)
Mobil    (Dr.Raza)
Mobil-K    (Davis)
Mocan    (Ambrosia)
Mocin    (Leads)
Mocta    (High-Q)
Mod    (Caraway)
Modact-Ir    (Platinum)
Modalert    (Jawa)
Modecate    (Gsk)
Moderate    (Noa Hemis)
Modipran    (Bex)
Modivid    (Caraway)
Modlip    (Wilshire)
Modlip Z    (Wilshire)
Modopine    (Askari)
Modrin    (Pharmedic)
Moducal    (Neutro)
Moduretic    (Obs)
Mofest    (Sami)
Mofilox    (Macter)
Moflex    (Wnsfeild)
Mofstan    (Jinnah)
Moftab    (Akhai)
Mogadon    (Roche)
Moklin    (Polyfine)
Moksecure    (Martin)
Moksi    (Abbott)
Molelant    (Meezab Int.)
Molin    (Asian)
Molinza    (Zafa)
Molium    (Alliance)
Molluscus    (Epoch)
Molox    (Ccl)
Molphine    (Shifa)
Molvcom    (Semos)
Momentium    (Werrick)
Momentium-Plus    (Werrick)
Momera    (Medera)
Momet    (Amarant)
Mometaderm    (Dermagen)
Momevate    (Pearl)
Mommi    (Xenon)
Moms Gripe Water    (Pharmatec)
Momtek    (W & Ali)
Monak    (English)
Monaka    (Noa Hemis)
Monarc    (Biogen)
Monaz    (Shawan)
Monchr    (Cherwel)
Moncol    (Alkemy)
Monekast    (Neo)
Monerate    (Ambrosia)
Monest    (Biolabs)
Monfusi    (E Pharm)
Monfusi B    (E Pharm)
Mong    (Unimark)
Monik    (Aries)
Monilstat    (Ellahi)
Monis    (Maple)
Monis-Xr    (Maple)
Monitin    (Remington)
Monitor    (Werrick)
Monitor Plus    (Werrick)
Monkast    (Danas)
Mono Card    (Valor)
Monobact    (Crest)
Monocare    (Polyfine)
Monocef    (Ccl)
Monocid    (Webrose)
Monocin    (Valor)
Monocor    (Standpharm)
Monodox    (Albro)
Monofer    (Allmrd)
Monoflox    (Rotex)
Monokast    (Vision)
Monolexin    (Pearl)
Monopaque    (Graton)
Monophenicol    (Macquins)
Monopril    (Gsk)
Monorid    (Regent)
Monosor    (Unimark)
Monosor Xl    (Unimark)
Monosorbid    (Brookes)
Monotab    (Epla)
Monotrate    (Pfizer)
Mont-Heim    (Pakheim)
Montair    (Ccl)
Montana    (Pdh)
Montaza    (Zafa)
Montbreez    (Breeze)
Montec    (Pharmatec)
Montef    (Efroze)
Montekarl    (Raazee)
Montekast    (Legacy)
Montel    (Star)
Montelair    (Himont)
Montelo    (Novartis)
Montelo Chewable    (Global)
Montelusaf    (Saaaf)
Montemax    (Wnsfeild)
Montero    (Rotex)
Montes      (Trison)
Monteser Sachet    (Panacea)
Monteser Tablet    (Wisdom)
Montewns    (Wnsfeild)
Monticare    (Adcare)
Monticare      (Aims)
Monticare Chew    (Adcare)
Montiget    (Getz)
Montika    (Sami)
Montika Film Coated    (Sami)
Montilak    (Hamaz)
Montilu    (Standard)
Montinig    (Goodman L)
Montitex    (Sapient)
Montlevo    (Eg Pharma)
Montone    (Pearl)
Montrial    (Wise)
Monty    (Leads)
Monurol    (Scharper)
Monxe    (Xenon)
Moodi    (Saydon)
Moor    (Zephyr)
Moov-K      (Biogen)
Moperium    (Genome)
Mopirixl    (Unipharma)
Moprel    (Lexicon)
Moprel V    (Lexicon)
Mopride F.C    (Pharmatec)
Moraten    (Hakimsons)
Morax    (Global)
Morbilvax    (Amson)
Morcet    (Searle)
Morcin    (Zinta)
Morfscot    (Scotmann)
Moricef    (Shrooq)
Morkil    (Shrooq)
Moroflox    (Alied)
Morphine    (Lcpw)
Mortam    (Macquins)
Morte    (Ambrosia)
Morte Ds    (Ambrosia)
Moruman    (Hakimsons)
Morupar    (Amson)
Morvella    (Paramount)
Morvella Ts    (Paramount)
Morvi    (Epoch)
Morvi    (Amarant)
Morvi Forte    (Amarant)
Morvi Forte    (Epoch)
Morvi Injection    (Amarant)
Mosart    (Neo)
Mosed    (Genome)
Mosegor    (Novartis)
Mosegor-V    (Novartis)
Mosether    (Genome)
Mosic    (Winilton)
Mosic    (Everest)
Mosl Ve    (Semos)
Mosor    (Fynk)
Mospel    (Abbott)
Mospro    (Roryan Pharma)
Mospro Ts    (Roryan Pharma)
Mosqonil    (Medera)
Mot    (Jaens)
Motaar    (Standpharm)
Motaar Dispersible    (Standpharm)
Motedone    (Lowitt)
Moticlod    (Rotex)
Moticol    (Novins)
Motidil    (Caraway)
Motifive    (Zesion)
Motil    (Medicraft)
Motilex    (Ferozson)
Motilite    (Candid)
Motilium    (Janssen-Cilag)
Motilium-V    (Janssen-Cilag)
Motinet    (Zephyr)
Motireg    (Pharmacare)
Motisone    (Geofman)
Motiv      (Biogen)
Motival    (Gsk)
Motivo    (Wellborne)
Motn    (Caraway)
Motrin    (Pfizer)
Motrol    (Wilshire)
Mouflam    (Macquins)
Moutemak    (Makson)
Mouth Care    (English)
Mouzide    (Medera)
Movaren    (Shrooq)
Movax    (Sami)
Movcol    (Genix)
Movcolm    (Semos)
Move    (Silver)
Move-Ease    (Tagma)
Movedon    (Medera)
Movedon-V    (Medera)
Movelat    (Atco)
Movelef    (Genix)
Moven    (Shrooq)
Mover    (Pharmevo)
Movera    (Mega Pharma)
Moveryl    (Sami)
Movicox    (Paramount)
Movigar    (Olive Labs)
Movom P    (Nenza)
Mowin    (Bryon)
Mox    (Maple)
Mox-Q    (Hisun)
Moxacin    (Rakaposhi)
Moxan    (Hygeia)
Moxasia    (Medera)
Moxave    (Kinsa)
Moxbay    (Jaens)
Moxi    (Aries)
Moxibact    (Continental)
Moxibay      (Biorex)
Moxibroad    (Usawa)
Moxicam    (Mendoza)
